"id","x_personality"
"serana","{""orientation"": ""Bisexual"", ""sexFantasies"": [""dark magic ritual"", ""bloodlust exploration"", ""forced submission"", ""wild outdoor sex"", ""sex with multiple partners"", ""blood play"", ""payment in blood"", ""two women one man""], ""sexualBehavior"": [""giving blowjobs"", ""deep throating"", ""cum play"", ""nipple play"", ""breast play"", ""threesomes""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""playful banter"", ""sexPersonalityTraits"": [""Dark seductress"", ""Submissive dominant"", ""Free spirit"", ""Bloodthirsty""], ""preferredSexPositions"": [""rear entry"", ""doggie style"", ""reverse cowgirl""]}"
"bassianus_axius","{""orientation"": ""heterosexual"", ""sexFantasies"": [""public sex in Riften alleys"", ""threesome with Fastred and another woman"", ""being watched by strangers""], ""sexualBehavior"": [""giving blowjobs"", ""deep throating"", ""nipple play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""dominant"", ""adventurous"", ""passionate""], ""preferredSexPositions"": [""standing from behind"", ""on top"", ""sitting on lap""]}"
"lynly_star-sung","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being ravished by a mysterious stranger"", ""having a secret tryst in a hidden location"", ""being the center of attention in a private concert""], ""sexualBehavior"": [""giving blowjobs"", ""receiving gentle nipple play"", ""light breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""playful"", ""romantic"", ""reserved"", ""passionate""], ""preferredSexPositions"": [""missionary with a gentle touch"", ""being on top to feel in control"", ""rear entry to feel a sense of vulnerability""]}"
"fastred","{""orientation"": ""heterosexual"", ""sexFantasies"": [""romantic getaway with a lover"", ""outdoor sex in a secluded meadow"", ""being swept off her feet by a charming suitor""], ""sexualBehavior"": [""giving blowjobs"", ""deep kissing"", ""nipple play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""naive"", ""romantic"", ""submissive""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""standing doggy""]}"
"camilla_valerius","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being dominated by a strong man"", ""having a threesome with two men"", ""being watched during sex""], ""sexualBehavior"": [""giving blowjobs"", ""receiving blowjobs"", ""deep throating""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""seductive"", ""playful"", ""teasing""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""doggy style""]}"
"temba_wide-arm","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being dominated by a strong partner"", ""having sex in a secluded outdoor location"", ""being watched by a trusted friend""], ""sexualBehavior"": [""deep throating"", ""giving blowjobs"", ""cum play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""passionate"", ""aggressive"", ""adventurous""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""doggy style""]}"
"klimmek","{""orientation"": ""heterosexual"", ""sexFantasies"": [""candlelit sex"", ""romantic getaways"", ""passionate love making in the wilderness""], ""sexualBehavior"": [""gentle lovemaking"", ""romantic kissing"", ""hugging""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""romantic"", ""caring"", ""emotional""], ""preferredSexPositions"": [""missionary"", ""man on top"", ""spooning""]}"
"valerica","{""orientation"": ""bisexual"", ""sexFantasies"": [""having sex in a dark, abandoned castle"", ""being dominated by a powerful Nord warrior"", ""succumbing to her primal desires in a moonlit forest""], ""sexualBehavior"": [""giving blowjobs"", ""receiving oral creampie"", ""Cum play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""Control freak"", ""Daring"", ""Protective""], ""preferredSexPositions"": [""tied-up"", ""from behind""]}"
"lucan_valerius","{""orientation"": ""heterosexual"", ""sexFantasies"": [""role-playing business partners"", ""sex in a secluded outdoor location"", ""slow, intimate seduction""], ""sexualBehavior"": [""deep kissing"", ""oral foreplay"", ""gentle intercourse""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sensual whispering"", ""sexPersonalityTraits"": [""gentlemanly"", ""attentive"", ""controlled"", ""passionate""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""standing from behind""]}"
"harkon","{""orientation"": ""heterosexual"", ""sexFantasies"": [""sex with a mortal woman while exerting his vampiric powers"", ""ravaging a village and claiming its women as his own"", ""deflowering a chaste priestess""], ""sexualBehavior"": [""biting"", ""scratching"", ""rough sex""], ""relationshipStyle"": ""polyamorous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""dominant"", ""sadistic"", ""possessive"", ""controlling""], ""preferredSexPositions"": [""dominant missionary"", ""standing from behind"", ""bondage""]}"
"fura_bloodmouth","{""orientation"": ""bisexual"", ""sexFantasies"": [""having sex with a mortal while feeding on their blood"", ""being dominated by a powerful partner"", ""having a threesome with two werewolves""], ""sexualBehavior"": [""blood play"", ""rough sex"", ""hair pulling""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""aggressive"", ""dominant"", ""bloodthirsty""], ""preferredSexPositions"": ["" missionary"", ""standing"", ""bent over""]}"
"mogrul","{""orientation"": ""heterosexual"", ""sexFantasies"": [""sex with a powerful woman"", ""rough public sex"", ""multiple partners""], ""sexualBehavior"": [""aggressive thrusting"", ""hair pulling"", ""rough kissing""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""aggressive"", ""dominant"", ""assertive""], ""preferredSexPositions"": [""dominant missionary"", ""standing doggy"", ""bent over""]}"
"orthjolf","{""orientation"": ""homosexual"", ""sexFantasies"": [""bloodplay"", ""vampire themed BDSM"", ""threesomes with fellow vampires"", ""sex in a crypt""], ""sexualBehavior"": [""facials"", ""deep throating"", ""giving blowjobs"", ""anal fingering"", ""frottage""], ""relationshipStyle"": ""polyamorous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""dominant"", ""sadistic"", ""aggressive"", ""hedonistic"", ""voyeuristic""], ""preferredSexPositions"": [""rough doggystyle"", ""standing 69"", ""bent over desk""]}"
"salonia_caelia","{""orientation"": ""bisexual"", ""sexFantasies"": [""threesome with Vingalmo and another female"", ""rough bondage"", ""anonymous sex with a stranger""], ""sexualBehavior"": [""deep throating"", ""facials"", ""cum play""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""submissive talk"", ""sexPersonalityTraits"": [""dominant"", ""adventurous"", ""insatiable""], ""preferredSexPositions"": [""doggie style"", ""reverse cowgirl"", ""standing""]}"
"boti","{""orientation"": ""heterosexual"", ""sexFantasies"": [""making love in a barn"", ""having sex outdoors under the stars"", ""being romantic with her partner in a hot spring""], ""sexualBehavior"": [""giving blowjobs"", ""nipple play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""passionate"", ""emotional"", ""intimate""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""spooning""]}"
"jofthor","{""orientation"": ""heterosexual"", ""sexFantasies"": [""sex by the fireplace"", ""roleplaying as newlyweds"", ""outdoor sex in a secluded meadow""], ""sexualBehavior"": [""receiving blowjobs"", ""sensual kissing""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""loving"", ""tender"", ""attentive"", ""romantic""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""spooning""]}"
"tonilia","{""orientation"": ""bisexual"", ""sexFantasies"": [""Being taken by multiple partners at once"", ""Having public sex in the middle of the market"", ""Being dominated by a powerful lover""], ""sexualBehavior"": [""giving blowjobs"", ""cum tasting"", ""threesomes"", ""public sex""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""Kinky"", ""Explorative"", ""Flirtatious""], ""preferredSexPositions"": [""missionary"", ""cunnilingus"", ""tribbing""]}"
"vekel_the_man","{""orientation"": ""heterosexual"", ""sexFantasies"": [""threesomes with Tonilia and another woman"", ""public sex in the Ragged Flagon"", ""being dominated by Tonilia""], ""sexualBehavior"": [""receiving blowjobs"", ""exhibitionism"", ""breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""passionate"", ""adventurous"", ""possessive""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""doggy style""]}"
"vex","{""orientation"": ""bisexual"", ""sexFantasies"": [""threesomes with fellow Guild members"", ""sex in secret Guild hideouts""], ""sexualBehavior"": [""giving blowjobs"", ""deep throating""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""dominant"", ""rough""], ""preferredSexPositions"": [""Standing Doggy"", ""Missionary"", ""Rear Entry""]}"
"sapphire","{""orientation"": ""bisexual"", ""sexFantasies"": [""being dominated by a powerful woman"", ""having a threesome with two wealthy merchants"", ""being secretly watched while having sex in a public place""], ""sexualBehavior"": [""cum play"", ""nipple play"", ""public sex"", ""voyeurism""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""rebellious"", ""seductive"", ""adventurous"", ""dominant"", ""punishing""], ""preferredSexPositions"": [""doggy style"", ""missionary"", ""cowgirl""]}"
"karliah","{""orientation"": ""bisexual"", ""sexFantasies"": [""being dominated by a powerful woman"", ""having a threesome with two men"", ""being tied up and teased""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""cum tasting""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""aggressive"", ""passionate"", ""adventurous""], ""preferredSexPositions"": [""doggy style"", ""reverse cowgirl"", ""standing""]}"
"isabelle_rolaine","{""orientation"": ""heterosexual"", ""sexFantasies"": [""having sex in a hidden location"", ""being surprised by Ranmir during a burglary"", ""making love in a secret underground chamber""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""cum tasting""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sensual whispering"", ""sexPersonalityTraits"": [""aggressive"", ""playful"", ""passionate""], ""preferredSexPositions"": [""doggie style"", ""cowgirl"", ""missionary""]}"
"sybille_stentor","{""orientation"": ""bisexual"", ""sexFantasies"": [""sex in a secret underground chamber"", ""being seduced by a powerful werewolf"", ""group sex with multiple partners while maintaining control""], ""sexualBehavior"": [""vampire bite play"", ""cum tasting"", ""orgies""], ""relationshipStyle"": ""polyamorous"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""dominant"", ""resourceful"", ""manipulative"", ""insatiable""], ""preferredSexPositions"": [""standing"", ""bondage"", ""facing away""]}"
"dirge","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being in control"", ""public sex"", ""having a threesome with two women""], ""sexualBehavior"": [""rough sex"", ""nipple play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""dominant"", ""aggressive"", ""protective""], ""preferredSexPositions"": [""doggy style"", ""missionary"", ""reverse cowgirl""]}"
"delvin_mallory","{""orientation"": ""bisexual"", ""sexFantasies"": [""sex in a tavern"", ""sex with a Dark Brotherhood member"", ""sex with a Guild member while on a job""], ""sexualBehavior"": [""cum play"", ""nipple play"", ""threesomes""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""adventurous"", ""dominant"", ""flirtatious""], ""preferredSexPositions"": [""doggy style"", ""standing sex"", ""oral sex""]}"
"dals___","{""orientation"": ""bisexual"", ""sexFantasies"": [""steamy encounter in a Riften alleyway"", ""erotically charged heist"", ""group sex in a hidden Thieves Guild chamber""], ""sexualBehavior"": [""cum play"", ""nipple play"", ""voyeurism""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""adventurous"", ""agile"", ""dominant""], ""preferredSexPositions"": [""standing doggy"", ""missionary"", ""reverse cowgirl""]}"
"jarl_elisif_the_fair","{""orientation"": ""heterosexual"", ""sexFantasies"": [""romantic getaway with a secret lover"", ""intimate encounter in a secluded outdoor setting"", ""being pampered and adored by a devoted partner""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""slow and sensual lovemaking""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""erotic storytelling"", ""sexPersonalityTraits"": [""passionate"", ""emotional"", ""intimate"", ""romantic"", ""submissive""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""spooning""]}"
"jordis_the_sword-maiden","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being ravished by a powerful warrior"", ""assuming a dominant role"", ""having a passionate encounter in a secluded outdoor setting""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""threesomes""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""breathless gasps"", ""sexPersonalityTraits"": [""passionate"", ""adventurous"", ""devoted""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""standing from behind""]}"
"bryling","{""orientation"": ""heterosexual"", ""sexFantasies"": [""secret trysts in the castle"", ""romantic getaways to the countryside"", ""passionate nights by the fireplace""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""cum tasting""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""teasing talk"", ""sexPersonalityTraits"": [""passionate"", ""romantic"", ""intimate"", ""emotional""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""standing""]}"
"alva","{""orientation"": ""bisexual"", ""sexFantasies"": [""threesomes with Movarth and Laelette"", ""public sex in the streets of Morthal"", ""being watched by Hroggar while with another partner""], ""sexualBehavior"": [""cum play"", ""nipple play"", ""breast play""], ""relationshipStyle"": ""polyamorous"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""dominant"", ""seductive"", ""manipulative""], ""preferredSexPositions"": [""doggy style"", ""reverse cowgirl"", ""standing""]}"
"alvide","{""orientation"": ""heterosexual"", ""sexFantasies"": [""having sex in a secure and safe place, like a fortified castle"", ""being touched and caressed by multiple people"", ""being dominated and controlled in the bedroom""], ""sexualBehavior"": [""nipple play"", ""deep kissing"", ""Mutual Masturbation""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""submissive"", ""emotional"", ""romantic""], ""preferredSexPositions"": [""missionary"", ""spooning"", ""woman on top""]}"
"alvor","{""orientation"": ""heterosexual"", ""sexFantasies"": [""having sex in the forge, surrounded by the heat and smell of hot metal"", ""being tied up and teased by his partner"", ""having a threesome with two women""], ""sexualBehavior"": [""slow and sensual"", ""passionate kisses"", ""stimulating nipples""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""-passionate"", ""romantic"", ""adventurous"", ""experimental""], ""preferredSexPositions"": [""missionary"", ""woman on top"", ""from behind""]}"
"leontius_salvius","{""orientation"": ""heterosexual"", ""sexFantasies"": [""fantasizing about a submissive partner"", ""having sex in a public place, such as a market or tavern"", ""ROLE-PLAY as a drunk, dominating patron who demands a private room""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""rough sex""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""forceful"", ""insistent"", ""controlling""], ""preferredSexPositions"": [""missionary"", ""doggystyle"", ""standing""]}"
"lieutenant_salvarus","{""orientation"": ""heterosexual"", ""sexFantasies"": [""being in control"", ""having a secret affair with a fellow soldier"", ""sex in a hidden location on the ship""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""threesomes""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""assertive"", ""confident"", ""protective""], ""preferredSexPositions"": [""missionary"", ""standing"", ""bent over""]}"
"rogatus_salvius","{""orientation"": ""heterosexual"", ""sexFantasies"": [""making love in a verdant field at sunset"", ""romantic getaway to an isolated farmhouse""], ""sexualBehavior"": [""nipple play"", ""breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""loving"", ""tender"", ""devoted""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""doggy style""]}"
"beem-ja","{""orientation"": ""bisexual"", ""sexFantasies"": [""threesomes with Salma and another woman"", ""sex in ancient ruins"", ""being dominated by a powerful sorceress""], ""sexualBehavior"": [""nipple play"", ""voyeurism""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""adventurous"", ""curious"", ""dominant""], ""preferredSexPositions"": [""doggy style"", ""standing"", ""oral""]}"
"colette_marence","{""orientation"": ""heterosexual"", ""sexFantasies"": [""exhibitionism"", ""role-playing as a student and teacher"", ""sex in the College of Winterhold's hidden passages""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""public sex""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""sensual whispering"", ""sexPersonalityTraits"": [""passionate"", ""playful"", ""submissive""], ""preferredSexPositions"": ["" missionary"", ""cowgirl"", ""standing""]}"
"daynas_valen","{""orientation"": ""heterosexual"", ""sexFantasies"": [""dominating a powerful sorceress"", ""having sex in an ancient ruin"", ""being worshipped as a treasure hunter god""], ""sexualBehavior"": [""nipple play"", ""breast play""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""dirty talk"", ""sexPersonalityTraits"": [""dominant"", ""aggressive"", ""adventurous""], ""preferredSexPositions"": [""missionary"", ""standing"", ""rear entry""]}"
"faralda","{""orientation"": ""homosexual"", ""sexFantasies"": [""engaging in a sensual ritual with a fellow mage"", ""being magically bound and pleasured"", ""having a private exhibitionist encounter in a hidden glade""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""voyeurism""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""Confident"", ""Dominating"", ""Playful"", ""Teasing""], ""preferredSexPositions"": [""standing doggy"", ""missionary with restraint"", ""sitting with leg wrap""]}"
"illia","{""orientation"": ""heterosexual"", ""sexFantasies"": [""kidnapping and seduction"", ""outdoor sex in a forbidden place"", ""being tied up and teased""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""tongue kissing""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""passionate"", ""adventurous"", ""romantic"", ""sensual""], ""preferredSexPositions"": [""missionary"", ""girl on top"", ""standing""]}"
"mirabelle_ervine","{""orientation"": ""heterosexual"", ""sexFantasies"": [""secretive affair with a younger man"", ""forbidden romance with a colleague"", ""wild night in a tavern""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""cum tasting""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""dominant"", ""passionate"", ""private""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""standing doggy""]}"
"yisra","{""orientation"": ""heterosexual"", ""sexFantasies"": [""secret affair with a powerful mage"", ""sex in a forbidden ancient ruin"", ""cast a spell on partner for obedience""], ""sexualBehavior"": [""nipple play"", ""cum licking""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""passionate"", ""adventurous""], ""preferredSexPositions"": [""standing doggy""]}"
"wylandriah","{""orientation"": ""bisexual"", ""sexFantasies"": [""Being ravished by a stranger in a hidden glade"", ""Performing a ritualistic mating dance under the light of the full moon"", ""Surrendering to a dominant partner in a steamy, underground cavern""], ""sexualBehavior"": [""Nipple Play"", ""Breast Play"", ""Facials""], ""relationshipStyle"": ""open relationship"", ""speakStyleDuringSex"": ""breathless gasps"", ""sexPersonalityTraits"": [""Adventurous"", ""Flirtatious"", ""Dominant""], ""preferredSexPositions"": [""Standing"", ""Bent Over"", ""On Top""]}"
"urag_gro-shub","{""orientation"": ""heterosexual"", ""sexFantasies"": [""roleplay with a powerful woman"", ""sex in a forbidden place"", "" dominance and submission""], ""sexualBehavior"": [""rough play"", ""spanking"", ""hair pulling""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""aggressive"", ""dominant"", "" controlling""], ""preferredSexPositions"": ["" missionary"", ""doggystyle"", ""standing""]}"
"annekke_crag-jumper","{""orientation"": ""heterosexual"", ""sexFantasies"": [""having sex in a secluded cave"", ""being caught by a stranger while having sex outdoors"", ""having a threesome with a fellow adventurer""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""outdoor sex""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""teasing talk"", ""sexPersonalityTraits"": [""adventurous"", ""affectionate"", ""daring""], ""preferredSexPositions"": [""doggy style"", ""cowgirl"", ""standing""]}"
"hulda","{""orientation"": ""heterosexual"", ""sexFantasies"": [""romantic getaway"", ""candlelit dinner"", ""sensual massage""], ""sexualBehavior"": [""nipple play"", ""breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""affectionate"", ""playful"", ""intimate""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""spooning""]}"
"saadia","{""orientation"": ""bisexual"", ""sexFantasies"": [""being dominated by a strong woman"", ""secretly watching her lover with someone else"", ""having a threesome with two people she trusts""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""cum tasting""], ""relationshipStyle"": ""polyamorous"", ""speakStyleDuringSex"": ""sultry seduction"", ""sexPersonalityTraits"": [""passionate"", "" guarded"", "" experimental""], ""preferredSexPositions"": [""reverse cowgirl"", ""standing doggy"", ""bent over""]}"
"frorkmar_banner-torn","{""orientation"": ""heterosexual"", ""sexFantasies"": [""having sex with multiple women at once"", ""being watched by others during sex"", ""having sex in a war-torn environment""], ""sexualBehavior"": [""threesomes"", ""nipple play"", ""breast play""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""dominant talk"", ""sexPersonalityTraits"": [""aggressive"", ""possessive"", ""confident""], ""preferredSexPositions"": [""missionary"", ""doggy style"", ""standing""]}"
"adrianne_avenicci","{""orientation"": ""heterosexual"", ""sexFantasies"": [""sex in a secluded outdoor location with a romantic partner"", ""a passionate night with a fellow Imperial soldier""], ""sexualBehavior"": [""nipple play"", ""breast play"", ""outdoor sex""], ""relationshipStyle"": ""monogamous"", ""speakStyleDuringSex"": ""sweet talk"", ""sexPersonalityTraits"": [""passionate"", ""romantic"", ""adventurous""], ""preferredSexPositions"": [""missionary"", ""cowgirl"", ""spooning""]}"
